
2024/10/21 (14:34:18) | ===> btop++ v.1.4.0
2024/10/21 (14:34:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/23 (01:26:42) | ===> btop++ v.1.4.0
2024/10/23 (01:26:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/24 (02:58:01) | ===> btop++ v.1.4.0
2024/10/24 (02:58:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/26 (18:28:34) | ===> btop++ v.1.4.0
2024/10/26 (18:28:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/27 (21:50:52) | ===> btop++ v.1.4.0
2024/10/27 (21:50:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/05 (14:11:45) | ===> btop++ v.1.4.0
2024/11/05 (14:11:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
